plesalec,plesalka,drzava,kategorija,idplesalca
Maxim Sitkin,Svetlana Karpova,Russian Federation,Adult,Maxim_Sitkin-7720c282-9533-4ee1-ac1e-9e4000e3c518
Vasily Yutanov,Ekaterina Pekush,Russian Federation,Adult,Vasily_Yutanov-981e6581-05da-40d1-aa93-a1ee0079611a
Jaroslav Steinbauer,Jitka Steinbauerova,Czech Republic,Senior IV,Jaroslav_Steinbauer-f3fa998f-3e67-4fba-a3c8-a23000f77070
Martin Nevelos,Ivana Lutovska,Czech Republic,Senior I,Martin_Nevelos-c550bc4f-3d61-4535-bba7-a2610083ede0
Jan Havir,Martina Manaskova,Czech Republic,Adult,Jan_Havir-e4321c8b-6b36-4bf9-80cf-a0c600445573
Alexey Uvarov,Evgenia Parysheva,Russian Federation,Adult,Alexey_Uvarov-e5001d0a-bb5f-438c-a4d0-a1c600f7a5c5
Ludovic Laczkowski,Patricia Dore,France,Senior II,Ludovic_Laczkowski-b8daee8b-c3ed-4217-bfaf-a26800e410f5
Stephane Murat,Olivia Perret,France,Senior II,Stephane_Murat-cbd148fd-9432-4a7e-8ef6-a1fd00ab3ce3
Alain Aparicio,Caroline Garnier,France,Senior III,Alain_Aparicio-52565919-cb52-4391-a0a4-a263011f5ba4
Philippe Antoine,Christiane Antoine,France,Senior III,Philippe_Antoine-bc66e871-60a8-4e33-8f80-a258009feb66
Jean-Loup Guillaume,Sophie Dardeau-Chene,France,Senior II,Jean-Loup_Guillaume-a3bd4d8d-ce9f-4b60-8179-9e14015d4c11
Didier Smith,Murielle Bravin,France,Senior III,Didier_Smith-90f11032-beda-44e3-a4be-9e1401359472
Gerard Moniot,Caroline Pigot,France,Senior III,Gerard_Moniot-1cac7710-fbac-4b5d-ad6d-a26301211b34
Thierry Josse,Sandrine Fragneau,France,Senior II,Thierry_Josse-bc886a74-0b6e-46f9-b2b9-a25a00c0fbee
Alexandr Sokolov,Maria Dudkina,Russian Federation,Youth,Alexandr_Sokolov-ecc057eb-546a-47eb-8559-a24d015f0678
Oleksandr Teleshko,Magdalena Kwasniak,Poland,Adult,Oleksandr_Teleshko-cc14c781-cf67-409b-8aa7-9e140137aeaf
Jozef Izykowski,Bujnicka Magdalena,Poland,Senior II,Jozef_Izykowski-37f71250-ece9-40df-b10b-a188010fce59
Anton Riabinsky,Larisa Chernykh,Russian Federation,Adult,Anton_Riabinsky-6cd3f8f3-4dd3-4d4c-8202-a24301179de4
Mikhail Gushchin,Sofia Mikhaylova,Russian Federation,Adult,Mikhail_Gushchin-7925f250-33c7-49f0-bce4-a181010c18a9
Emre Akca,Cagil Tureli,Turkey,Adult,Emre_Akca-3c019660-1898-438f-b9d7-a26e00d5e813
Mark Flemming Albertsen,Amanda Hamrell Aas,Norway,Adult,Mark_Flemming_Albertsen-6ad85f4e-6292-4628-9cae-a252010597b1
Justinas Palekas,Marina Ruschin Vevle,Norway,Adult,Justinas_Palekas-3b6ba275-aa4b-41dd-9d33-a26900e0088f
Andre Pedersen,Cathrine Gramstad Gerrie,Norway,Adult,Andre_Pedersen-00dbef72-b1d1-4be2-be87-a1eb00d4f588
Jone Saevartveit Snilstveit,Lydia Molvaer,Norway,Youth,Jone_Saevartveit_Snilstveit-e9f54ae6-7461-4c9b-88c3-a25b010cffed
Joran Viken Ekse,Emilia Furnes Hilt,Norway,Youth,Joran_Viken_Ekse-b3fee29a-383c-4ef9-9a28-a25b010d24d1
Ole Thomas Hansen,Julie Gudim Bjerkaas,Norway,Youth,Ole_Thomas_Hansen-004ecaaa-7d1d-43be-a1e7-a21400ecc7ab
Andrey Samoylenko,Karina Starikova,Russian Federation,Adult,Andrey_Samoylenko-6c6f136b-ada8-434f-b100-a1d20073bc8a
Norel Ionut Dedu,Cristina Alexandra Bajinaru,Romania,Adult,Norel_Ionut_Dedu-aa1f97d9-12b0-461b-a49d-a14b0162a858
Alessandro Reina,Sofia Piattoli,Italy,Youth,Alessandro_Reina-f5968a05-4c59-456c-b269-a16900ec65f1
Massimiliano Mura,Ana Maria Moscaliova,Moldova,Adult,Massimiliano_Mura-6799b104-8a75-4e83-9ed0-a16d00bebe03
Ruttanun Sriruttanaaram,Meenna Supprapassorn,Thailand,Adult,Ruttanun_Sriruttanaaram-ff5d4a81-0d33-4b77-b9a6-a17000b13095
Nattapong Kunhakoon,Thanyaporn Withet,Thailand,Adult,Nattapong_Kunhakoon-e7ae23c1-44b4-4e36-ac9f-a17000b13f4d
Titiwat Janmak,Rukcharin paiboonattakit,Thailand,Adult,Titiwat_Janmak-17da445c-70ad-4195-a92d-a17000b14737
Tuptep Jiraprasertkorn,Kanyawee Weerakul,Thailand,Adult,Tuptep_Jiraprasertkorn-bc910c30-1971-4bff-ae29-a17000b15364
Puttisit Promna,Nattanicha Ittisophonpisarn,Thailand,Adult,Puttisit_Promna-99184cb8-c17f-4d7e-b72e-a17000b1582e
Chatchai Suwanich,Tanyalak Lampandaeng,Thailand,Adult,Chatchai_Suwanich-848af6d8-1bf4-4ff0-aade-a17000b25755
Aphichai Promboon,Pakaorn Kuituan,Thailand,Adult,Aphichai_Promboon-c57108e4-bd0e-4b67-b76e-a17000b270f6
Thanaphong Imsombun,Pandari Charoenthai,Thailand,Adult,Thanaphong_Imsombun-8a118955-e9eb-4c3f-b657-a17000b275d8
Patipat Kaew-udom,Pimanmas Kaewudom,Thailand,Adult,Patipat_Kaew-udom-7991b67e-61c0-4d5f-a051-a17000b2859f
Atis Horthong,Chanikarn Kallayawanich,Thailand,Adult,Atis_Horthong-bc957a77-3c98-44c6-8c62-a17000b2c555
Worawit Pradittakarn,Penpitchaya Manoppong,Thailand,Adult,Worawit_Pradittakarn-e9056910-997d-4f24-92f1-a17000b2d3aa
Sadawit Settachai,Nichkamol Ketphong,Thailand,Adult,Sadawit_Settachai-fbd77cf9-b9bd-40c4-8b64-a17000b2d832
Intarapol Chankaeo,Saijai Arnon,Thailand,Youth,Intarapol_Chankaeo-4df57577-d222-408b-9c9c-a17000b2dc62
Jetsadakorn Khwankhao,Penticha Sangket,Thailand,Adult,Jetsadakorn_Khwankhao-c208d914-5cd6-48fd-9ab3-a17000b2e096
Chatchawan Noojak,Chanoknan Pratummes,Thailand,Youth,Chatchawan_Noojak-15346461-f076-478f-8329-a17000b2e62f
Napat Kaewkaow,Pariya Phuyuthanon,Thailand,Youth,Napat_Kaewkaow-a87b4730-9be5-4d06-8689-a17000b337cf
Jirasak Munipapa,Sakulkarn Munipapa,Thailand,Youth,Jirasak_Munipapa-aa8d4eac-af2f-4458-9d75-a17000b38507
Chaloemchai Kamonchit,Kanjana Dissaman,Thailand,Adult,Chaloemchai_Kamonchit-e83a298e-6f2c-490e-b812-a17000b38e7b
Patdanai Boonlerd,Suthisa Tidepan,Thailand,Adult,Patdanai_Boonlerd-ae3ff801-ec57-40ad-88ca-a17000b35800
Chainuwat Sangkat,Sasiwan Nareusajayarn,Thailand,Adult,Chainuwat_Sangkat-c76729c4-dda6-494b-95bb-a17000b3bcc4
Arthit Saengow,Pajareeya Sungwanpetch,Thailand,Youth,Arthit_Saengow-b7ab6aeb-5c84-40d0-bf1c-a17000b44081
Kittikun Kaewprakan,Nontawan Pimpoklang,Thailand,Adult,Kittikun_Kaewprakan-855d1def-ab64-444d-a5f0-a17000b529f9
Pawatpong Racha-Apai,Thitiyapa Potimu,Thailand,Adult,Pawatpong_Racha-Apai-9939b630-1c6e-4aa2-afdc-a17000b534c2
Bunterng Intalang,Surang Sathitsuk,Thailand,Senior II,Bunterng_Intalang-55b6616a-f48d-4130-aaef-a17000b53706
Petar Vukobrat,Kristina Gavrilov,Serbia,Adult,Petar_Vukobrat-e80de134-83dd-4938-b479-a17000ea8265
Siarhei Buldyk,Ekaterina Khranovskaya,Belarus,Adult,Siarhei_Buldyk-66bac753-ed91-4375-a02c-a17400efc62f
Mikhail Kuzniatsou,Vasilisa Zaitsava,Belarus,Youth,Mikhail_Kuzniatsou-5da1c655-7ef7-45e5-93b6-a176008849e0
Robert Leht,Mirjam Koch,Estonia,Youth,Robert_Leht-ab91b5a1-7bc1-4eba-a8aa-a17900da4898
Emanuil Zaimaj,Maria Zaimaj,Albania,Adult,Emanuil_Zaimaj-e51ed65e-5e57-43b5-ae59-a17a01769567
Christian Gonzalez Ribes,Damaris Gonzalez Ribes,Spain,Adult,Christian_Gonzalez_Ribes-07196930-bbf2-41e3-b998-a17b0090067d
Marcos Zarzo Benlloch,Celia Ruiz Minuesa,Spain,Adult,Marcos_Zarzo_Benlloch-252a016c-671a-447a-bb6b-a17b0092a06b
Kanstantsin Zaitsau,Vita Maladtsova,Belarus,Youth,Kanstantsin_Zaitsau-3ed71411-d27e-4e35-a798-a17b01573982
Petar Petrovic,Ivana Velickovic,Serbia,Youth,Petar_Petrovic-d67b3431-9cd9-4bc5-80ca-a17c013ff376
Milos Djordjevic,Ines Kasumovic,Serbia,Youth,Milos_Djordjevic-38cd1e3e-9b7e-4ef4-b87d-a17c013ffb73
Redion Hajderdhi,Sabjana Beka,Albania,Junior II,Redion_Hajderdhi-8f182f95-4fc9-4749-8db6-a17f010b53d7
Evgeny Nikitin,Julia Khurtina,Russian Federation,Youth,Evgeny_Nikitin-3b1aee43-7f2f-4cd7-927d-a181010c00c5
Konstantin Sokolov,Daria Evdokimova,Russian Federation,Youth,Konstantin_Sokolov-2609c16c-43e8-45f8-8829-a181010c0317
Ivan Isakov,Maria Maydanichenko,Russian Federation,Youth,Ivan_Isakov-8516a5c2-03b9-4d1d-aa0f-a181010c070a
Ivan Kolotov,Anastasia Blagodareva,Russian Federation,Youth,Ivan_Kolotov-e7c6eaec-e404-4c75-af06-a181010c08af
Dmitry Shcherbakov,Julia Zotova,Russian Federation,Adult,Dmitry_Shcherbakov-be5675dc-a0bf-4d94-850a-a181010c0f0c
Evgeny Mikhaylov,Anna Griger,Russian Federation,Adult,Evgeny_Mikhaylov-b3975181-14c5-4c67-913a-a181010c0f52
Daniil Kupchenko,Daria Konstantinova,Russian Federation,Junior II,Daniil_Kupchenko-5ebb5f99-6e41-47ff-91fc-a181010c0ff6
Leonid Shilokshin,Olga Shilokshina,Russian Federation,Senior I,Leonid_Shilokshin-f3c52c88-a924-4223-a193-a181010c11a9
Nikolay Mugalimov,Maria Avramova,Russian Federation,Adult,Nikolay_Mugalimov-b4fcbec0-9ac1-4a7a-96cf-a181010c132d
Artem Radaev,Alina Finkelshteyn,Russian Federation,Adult,Artem_Radaev-c00b2a56-06c5-48f1-8df9-a181010c1345
Danila Shinkov,Alexandra Svintsova,Russian Federation,Youth,Danila_Shinkov-a19395c0-00a1-417d-9b83-a181010c13f7
Grigory Parygin,Alisa Prokopenko,Russian Federation,Adult,Grigory_Parygin-bf736f11-3270-441c-a5aa-a181010c1580
Dmitry Zakutsky,Tatiana Kochetkova,Russian Federation,Adult,Dmitry_Zakutsky-ff2d8b56-37eb-4fd5-8f5c-a181010c16ed
Mikhail Gushchin,Sofia Mikhaylova,Russian Federation,Adult,Mikhail_Gushchin-7925f250-33c7-49f0-bce4-a181010c18a9
Alexandr Mitronin,Anzhelika Mitronina,Russian Federation,Youth,Alexandr_Mitronin-cd5bc068-9fc9-411e-ac2d-a181010c18d3
Kirill Sagaydakov,Diana Naumova,Russian Federation,Youth,Kirill_Sagaydakov-a2014a4a-c620-43b3-adde-a181010c1aa3
David Getoev,Amina Dzedaeva,Russian Federation,Youth,David_Getoev-2b6b8c1e-adc5-4909-9671-a181010c1c51
Bogdan Raicu,Lavinia Gheorghita,Romania,Adult,Bogdan_Raicu-9d2b80a0-5cf7-4a9d-accd-a181012f1b3b
Cristian Berevoianu,Teodora Valentina Berevoianu,Romania,Senior I,Cristian_Berevoianu-10358224-e349-4bea-8ccc-a181012f300d
Alin Constantin Sandu,Roxana Marin,Romania,Adult,Alin_Constantin_Sandu-5a00bac8-3097-4a3d-b95a-a181012f3640
Adrian Gabriel Dragan,Mihaela Alistarh,Romania,Adult,Adrian_Gabriel_Dragan-873671c4-18f9-422f-8d3b-a181012f74c6
Giounis Aliev,Ekaterina Bychkovskaya,Azerbaijan,Adult,Giounis_Aliev-39819411-986d-4671-8cfd-a181016cd9d7
Matthew Majzel,Patricia Piestanska,Slovakia,Youth,Matthew_Majzel-ede2f687-18f8-44e7-a5a2-a18500b8ee91
David Conway Nunn,Gaye Conway Nunn,South Africa,Senior III,David_Conway_Nunn-31914f7e-e853-4b60-827a-a18500ef9986
Keanan Granville McCune,Micaela Loots,South Africa,Adult,Keanan_Granville_McCune-121f69c2-6bc8-4597-879b-a18500f29931
Ian Walter Damerell,Simona Damerell,South Africa,Senior II,Ian_Walter_Damerell-b9690496-5b83-4eba-a137-a18500f5d93e
Michael Scerri,Doreen Scerri,Malta,Senior IV,Michael_Scerri-4af6c461-f5a0-4d93-bec3-a18501259a2b
Engjell Radaci,Edra Fishta,Albania,Adult,Engjell_Radaci-f38dcfa6-36b9-407f-b496-a18601168f11
Joshua Groleas,Agathe Porte,France,Adult,Joshua_Groleas-9df33946-6848-49e1-9f5c-a18701371e14
Dat Tuan Nguyen,Huong Phan Nguyen Quynh,Vietnam,Adult,Dat_Tuan_Nguyen-675380d3-da4d-4220-bd2a-a18800ab1236
Jozef Izykowski,Bujnicka Magdalena,Poland,Senior II,Jozef_Izykowski-37f71250-ece9-40df-b10b-a188010fce59
Tomasz Smolinski,Agnieszka Czaplicka,Poland,Adult,Tomasz_Smolinski-0a0a3690-28aa-4573-986b-a1880114831a
Jose Tomas Enciso Ciriano,Vivian Patricia Bonilla Ramirez,Spain,Senior III,Jose_Tomas_Enciso_Ciriano-4dd79458-c914-4718-8b61-a18801231e58
Haris Pozderac,Ena Muric,Bosnia and Herzegovina,Youth,Haris_Pozderac-ce037b5e-e9e0-4776-9636-a189001a9286
Zinedin Racic,Ilda Ljubijankic,Bosnia and Herzegovina,Youth,Zinedin_Racic-d593a55b-d667-4665-83cf-a189001c2568
Yuji Hiroshima,Ayami Suzuki,Japan,Adult,Yuji_Hiroshima-9bf67ce9-4b78-42ab-bf75-a189004786ca
Bartolome Laville Ferriol,Margarita Llinas Martorell,Spain,Senior III,Bartolome_Laville_Ferriol-12c428ff-ac1a-446a-a866-a18900a06cc6
Christopher Mejia,Camila Arboleda,Ecuador,Adult,Christopher_Mejia-7030644c-fe2a-4b80-8782-a18a00f8e14e
Esteban Fabian Acosta Munoz,Milena Salome Romero Teran,Ecuador,Youth,Esteban_Fabian_Acosta_Munoz-3da6b4d2-aa8a-4077-ab42-a18d0165c039
Silviu George Tabirca,Camelia Panaite,Romania,Youth,Silviu_George_Tabirca-88784ef4-acba-47d3-9536-a18e00ea648e
Cristian - Alexandru Panduru,Amira - Cristina Anica,Romania,Adult,Cristian_-_Alexandru_Panduru-376d83ec-9f1a-455a-9de4-a18e00f1bcdb
Jordi Balleste Tomas,Mariona Ferre Moya,Spain,Youth,Jordi_Balleste_Tomas-dfc88941-4f69-4215-bd10-a18e012a2d56
Radu Gabriel Bica,Maria-Andreea Goslan,Romania,Adult,Radu_Gabriel_Bica-36b79ea0-38e7-45d0-a1fb-a18e01351625
Diego Gordillo,Camila Caicedo,Ecuador,Youth,Diego_Gordillo-9e691de7-5d2c-4211-b297-a190011c0046
Javier Chancusig,Sara Cisneros,Ecuador,Adult,Javier_Chancusig-92cb7977-d8ef-4b26-9f2a-a1900129856e
Jose Angel Zubiaurre Chapero,Araceli Rodriguez Pelaez,Spain,Senior III,Jose_Angel_Zubiaurre_Chapero-efc09073-dd55-445b-86ce-a190012a7e00
Jorge Andres Rivera Moncayo,Kelly Mejia,Ecuador,Youth,Jorge_Andres_Rivera_Moncayo-db70fc61-cab4-4562-9f0b-a1910026e05f
Juan Martin Sanchez,Sofia Castillo,Ecuador,Adult,Juan_Martin_Sanchez-1398251d-2710-4d69-9d3d-a191003ab2ae
Ricardo Adrian Freire,Shely Anahi Castillo Suarez,Ecuador,Adult,Ricardo_Adrian_Freire-cd730390-11b3-4cac-a074-a191004013c5
Vaclav Masaryk,Klara Chovancikova,Czech Republic,Adult,Vaclav_Masaryk-400a1a9a-96a7-401c-950d-a193010b3b4a
Goran Rajic,Nikoleta Stamenkovic,Serbia,Adult,Goran_Rajic-84563d3d-db39-472e-b3a5-a194013738f6
Kamil Bochenek,Ilona Sak,Poland,Junior II,Kamil_Bochenek-7c94c45a-81d3-4c39-bdf0-a1950084e721
Shvartsburd Yehonatan,Elinor Gershfeld,Israel,Junior II,Shvartsburd_Yehonatan-9c69793c-32cd-4268-9fc2-a19500eb3c62
Shay Hudatov,Abigal Soubotko,Israel,Junior II,Shay_Hudatov-2002bf4f-1c15-4f61-8d10-a19500ec52e5
Kamil Chmiel,Joanna Sawula,Poland,Adult,Kamil_Chmiel-7afe658b-009a-42a1-b40e-a1950117596c
Pawel Pasterz,Paulina Dudek,Poland,Adult,Pawel_Pasterz-8055c3a6-ed03-459d-ac3a-a19501183630
Piotr Prusak,Adrianna Kaczmarzyk,Poland,Adult,Piotr_Prusak-3b9c3829-2e06-4f7a-9a7d-a1950118b012
Merkys Midvikas,Goda Simaityte,Lithuania,Youth,Merkys_Midvikas-b81a7edf-1891-400a-88c3-a19c006a3aba
Milos Dmitric,Sara Smrekic,Serbia,Youth,Milos_Dmitric-63df0941-a5f0-4598-813c-a19d00eed15d
Darko Vujakovic,Kristina Erceg,Serbia,Adult,Darko_Vujakovic-2511f1f4-9878-4543-9e75-a19d00ef006c
Petreus Daniel,Mitru Bettina,Romania,Adult,Petreus_Daniel-b23590cc-2f8d-44d1-a5f0-a19e013435ca
Tam Shun Tin William,Yui Fun Chung,Hong Kong,Senior III,Tam_Shun_Tin_William-900e7778-4166-4098-b380-a1a000f24f46
Matteo Conti,Michela Vagni,Italy,Adult,Matteo_Conti-e7e657ae-828c-4cdf-90ac-a1a200e33ae1
Simonas Adamkevicius,Kamile Giedrikaite,Lithuania,Adult,Simonas_Adamkevicius-04711059-e9e6-40b6-9f54-a1a300732aa7
Justas Skara,Vaida Marija Siaulytyte,Lithuania,Youth,Justas_Skara-5efed50e-4568-4cd4-b4a2-a1a30073c243
Raymond Chiu,Aimee Lee,Australia,Senior II,Raymond_Chiu-2a0dbc94-c112-4211-90dd-a1a40041ec59
Igor Savin,Sanja Todic,Serbia,Youth,Igor_Savin-758acc8e-45ff-4643-9f19-a1a4018173b9
Yuriy Nartov,Yuliya Blagova,United States,Adult,Yuriy_Nartov-01943844-a500-4cf2-8e2f-a1a50035acd9
Attila Norbert Metz,Cristina Maria Cordun,Romania,Youth,Attila_Norbert_Metz-7d16e079-2985-4878-92f9-a1a50095a152
Mikita Lukashou,Sandrina Cruijsberg,Netherlands,Junior II,Mikita_Lukashou-d22b328a-47d5-4acc-b242-a1a500d4db27
Paul Florian Dana,Beatrice Stefana Iacob,Romania,Youth,Paul_Florian_Dana-e048e7b0-7321-4d5b-96a2-a1a50095f574
Yauheni Lahoikin,Yelizaveta Karobkina,Belarus,Junior II,Yauheni_Lahoikin-2f6926f4-2bb4-4296-9674-a1a500d8db88
Andrei Kobryk,Iryna Klebaniuk,Belarus,Youth,Andrei_Kobryk-764ac0c8-c25c-47ab-9cd3-a1a500e287d0
Adam Szabo,Orsolya Edina Kaszas,Hungary,Youth,Adam_Szabo-6869c9d8-5b7a-456e-ab90-a1a500eacc78
Davit Harutyunyan,Evelina Mnatsakanyan,Armenia,Adult,Davit_Harutyunyan-f9706123-1bef-47a3-b321-a1a5017881df
Kamil Sobczak,Julianna Schmidt,Poland,Adult,Kamil_Sobczak-1e1ec66d-cc8e-4c9c-b009-a1a80181bb82
Daniele Zampa,Aurora Alunni Bistocchi,Italy,Junior II,Daniele_Zampa-c51e827d-5e8e-4f04-8dae-a1a90104ee9a
Alexandru Comsa,Valentina-Georgiana Talpeanu,Romania,Adult,Alexandru_Comsa-48678a42-5251-4efb-b28f-a1ab010b439a
Pietro Ferrante,Flavia Geotti,Italy,Senior III,Pietro_Ferrante-0e9d4b66-a6f9-4da4-81b3-a1b2009871d3
Alessandro Nacci,Giulia Ballerini,Italy,Junior II,Alessandro_Nacci-06964d20-b7b1-4072-8035-a1b300dc0764
Marco Volpe,Elisabetta Rutigliani,Italy,Adult,Marco_Volpe-dea9edd3-2e88-4509-bab7-a1b300e550eb
Gustavo Ariel Cortes,Gabriela Herminia Fernandez,Argentina,Senior II,Gustavo_Ariel_Cortes-db188db0-33fd-45d9-96cb-a1b30152f289
Yevgen Dmytrenko,Mery Lenz,Argentina,Adult,Yevgen_Dmytrenko-ac98d5cc-795b-4191-abdf-a1b30153d479
Bruno Aniceto,Raquel Silva,Portugal,Adult,Bruno_Aniceto-332788e2-d9db-47bd-8ed6-a1b30181202e
Ting Fung Choi,Yinn Chau,Hong Kong,Adult,Ting_Fung_Choi-bab38967-3ee9-43b4-9b7c-a1b40121c0e2
Duc Tuan LE,Mai Tram Nguyen Ngoc,Vietnam,Adult,Duc_Tuan_LE-416def41-9962-460d-8020-a1b600e4dd08
Huy Nguyen Huynh,Lan Huong Tran,Vietnam,Adult,Huy_Nguyen_Huynh-9a3da9c9-955c-4f67-93e3-a1b600e4f02c
Gilles Bailly,Blandine Bailly,France,Senior III,Gilles_Bailly-f2acc529-ea84-4c69-92ec-a1b700acb12a
Anton Goncharov,Ruta Goncharova,Latvia,Adult,Anton_Goncharov-5db8c6a9-99f5-40ac-92f7-a1b800b57e5a
Nigel Kukulka,Margaret Kukulka,Australia,Senior III,Nigel_Kukulka-a7c03a03-2ebc-43de-b597-a1ba0029bb9d
Harm Voets,Gerda Catharina Maria Voets,Netherlands,Senior II,Harm_Voets-17731680-9e80-4f20-a2d5-a1be00b06cb4
Josef Haldina,Klara Faltusova,Czech Republic,Youth,Josef_Haldina-1e77123f-a5a8-459e-a1e4-a1bd00dcf0c9
Ricardo Ribeiro,Vanessa Varela,Portugal,Adult,Ricardo_Ribeiro-429cee42-13bf-43c7-9e80-a1bf016899bc
Stefan Wrbka,Rie Iwaki,Austria,Senior I,Stefan_Wrbka-60485c0c-895d-43f7-91ed-a1c100540a38
Daniel Lin,Ivy Chuan,Chinese Taipei,Youth,Daniel_Lin-ff3d760a-f7f6-4bce-ae17-a1c100c190bd
Lucian Constantin Boldojan,Roxana Maria Dinca,Romania,Junior II,Lucian_Constantin_Boldojan-4a21ad0d-963e-49a3-b0f5-a1c200ca604f
Andrei Antonio Serban,Irina Adriana Florescu,Romania,Youth,Andrei_Antonio_Serban-91341268-21e5-41a4-981d-a1c200cab138
Fabian Ardeiu,Andreea Raluca Manea,Romania,Youth,Fabian_Ardeiu-3a246460-f45c-4d47-877a-a1c200cae1de
Petcu Andrei,Buzuleac Bianca,Romania,Junior II,Petcu_Andrei-023fbe3f-69ba-4398-8110-a1c200caeb43
Alin Florian Stoicanescu,Malina Stefania Stoicanescu,Romania,Adult,Alin_Florian_Stoicanescu-23d5f783-8980-42fc-92a2-a1c200cb07ac
Laviniu-Ionut Gradea,Alexandra-Cristina Bujor,Romania,Junior II,Laviniu-Ionut_Gradea-9e6e27ab-fa54-4cd7-832b-a1c200cb19a9
Wojciech Rokita,Karolina Wozny,Poland,Youth,Wojciech_Rokita-d3da7e39-818d-4727-b598-a1c500f10abd
Tomasz Rydzak,Aleksandra Rydzak,Poland,Senior II,Tomasz_Rydzak-601e3b15-3735-4fe3-9a17-a1c501279c8a
Alexey Uvarov,Evgenia Parysheva,Russian Federation,Adult,Alexey_Uvarov-e5001d0a-bb5f-438c-a4d0-a1c600f7a5c5
Daniel Boruvka,Barbora Boruvkova,Czech Republic,Junior I,Daniel_Boruvka-e757ebd9-1617-407c-82c3-a1c700e42cd3
Bogdan-Sorin Ungur,Andrea Gede,Romania,Youth,Bogdan-Sorin_Ungur-17c1d300-14bb-4f03-84dc-a1c900eb010e
Cosmin Ionut Podariu,Ioana Bianca Didea,Romania,Youth,Cosmin_Ionut_Podariu-e60bac81-eec5-45e9-b873-a1c900eb1890
Yung Cheng Lin,Serena Lin,Chinese Taipei,Youth,Yung_Cheng_Lin-49fdb742-faa9-4f80-bfb8-a1ca00a66ca2
Vladimir Girzha,Elizaveta Yakovleva,Russian Federation,Youth,Vladimir_Girzha-27754723-1927-43ce-8fdf-a1cd00ee3506
Robert Stefan Dumbrava,Anamaria Beatrice Smit,Romania,Adult,Robert_Stefan_Dumbrava-7542921d-8042-49b5-afc4-a1ce007df89d
Giovanni Domenico Trentadue,Valentina Ventrella,Brazil,Adult,Giovanni_Domenico_Trentadue-c8494aac-3881-473a-9b76-a1d200e8421f
Alex Claudiu Lazea,Krista Valu,Romania,Junior II,Alex_Claudiu_Lazea-847ef44f-7ffd-4879-aabd-a1d201305e60
Andrey Samoylenko,Karina Starikova,Russian Federation,Adult,Andrey_Samoylenko-6c6f136b-ada8-434f-b100-a1d20073bc8a
Jacob Boffa,Jessica Esposito,Australia,Adult,Jacob_Boffa-852c4a8d-18be-4ef6-ba72-a1d5003a1d60
Jan Golebiowski,Agnieszka Banaszek,Poland,Senior III,Jan_Golebiowski-d816e4ad-7576-46de-b792-a1d60091c6e3
Nikita Kaliaev,Polina Ukraintseva,Russian Federation,Youth,Nikita_Kaliaev-653c3456-5221-4ff1-9edb-a1dd00d68ba8
Justin Sharrock,Amy Sharrock,Australia,Adult,Justin_Sharrock-a4b7a172-bb51-4a68-8f4e-a1e0007a6d3d
Clint Fiedler,Sonja Ponikvar,Australia,Adult,Clint_Fiedler-242e0328-718b-4f45-851f-a1e0007a8514
Keisuke Nishimoto,Mari Saito,Japan,Adult,Keisuke_Nishimoto-9fc1c7bd-c6e0-4b91-9698-a1e10083bc8e
Roman Mirzaev,Polina Kozhina,Russian Federation,Adult,Roman_Mirzaev-9ae16747-2e02-489b-80f5-a1e10112bbb9
Riccardo Cabras,Simona La Boccetta,Italy,Senior I,Riccardo_Cabras-bdf9484f-345f-4f93-a289-a1e2010699b5
Stanislav Pavlov,Jessica Karpishin,United States,Adult,Stanislav_Pavlov-ac3de543-f926-45e9-8080-a1e40145224e
Razmik Grigoryan,Lilit Badalyan,Armenia,Youth,Razmik_Grigoryan-5b2c7a74-ea17-41f2-be45-a1e9016d82ad
Minh Luan Huynh,Ong Thi Phuong Oanh,Vietnam,Adult,Minh_Luan_Huynh-914fec61-9016-4afc-8eec-a1eb00d4e36f
Andre Pedersen,Cathrine Gramstad Gerrie,Norway,Adult,Andre_Pedersen-00dbef72-b1d1-4be2-be87-a1eb00d4f588
Santino Antonio Alessandro Mirenna,Emilie Marie Moseng Tellefsen,Norway,Adult,Santino_Antonio_Alessandro_Mirenna-2ad3ae34-448e-4f77-ab6b-a1eb00d568c2
Vasily Yutanov,Ekaterina Pekush,Russian Federation,Adult,Vasily_Yutanov-981e6581-05da-40d1-aa93-a1ee0079611a
Pavel Soldatenkov,Sofia Kalugina,Russian Federation,Adult,Pavel_Soldatenkov-5af8b07e-e989-47c6-9412-a1ee0079f0bd
Masculic David Zsolt,Roatis Iris Ioana,Romania,Youth,Masculic_David_Zsolt-a2f6da68-8518-4e5b-8990-a1f7014e83ed
Elvin Constantin,Carina Adochitei,Romania,Youth,Elvin_Constantin-179c597b-8a80-4d68-b2ad-a1f7014e92e1
Stefan Popa,Georgiana Petronela Dimitrescu,Romania,Youth,Stefan_Popa-a935d983-9af9-4254-80bd-a1f7014f8b99
Rares Alexandru Macovei,Madalina-Gabriela Sauleac,Romania,Youth,Rares_Alexandru_Macovei-27ceca93-6c92-4ab5-8b5a-a1f7014fa071
Silvan Mihai Cimpoesu,Olimpia Constanta Zagnat,Romania,Youth,Silvan_Mihai_Cimpoesu-a22a428b-0a79-4ace-8b77-a1f7014fa807
Dzmitry Matskevich,Serafima Haiduk,Belarus,Youth,Dzmitry_Matskevich-41ada3db-62ea-4c19-9ed8-a1fb01317571
